_id	name	gender	culture	born	died	titles	aliases	father	mother	spouse	allegiances	books	povBooks	tvSeries	playedBy
characters:1031	Torren Liddle	Male	Northern mountain clans			The Liddle,Lord Liddle					House Liddle	A Feast for Crows,A Dance with Dragons			
characters:1032	Torrence Teague	Male	Rivermen			King of the Trident,Lord						The World of Ice and Fire			
characters:1033	Torrhen Karstark	Male	Northmen	At Karhold	In 298 AC, at the Whispering Wood		Torr				House Karstark of Karhold	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons		Season 2	Tyrone McElhennon
characters:1034	Torrhen Stark	Male	Northmen			King in the North (former),Lord of Winterfell,Warden of the North	The King Who Knelt					A Game of Thrones,A Clash of Kings,A Storm of Swords,The World of Ice and Fire			
characters:1035	Trebor Jordayne	Male				Lord of the Tor					House Jordayne of the Tor	A Feast for Crows,A Dance with Dragons			
characters:1036	Tremond Gargalen	Male	Dornish			Lord of Salt Shore					House Gargalen of Salt Shore	A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1037	Tristan Mudd	Male				Lord Commander of the Night's Watch					House Mudd of Oldstones	A Storm of Swords			
characters:1038	Tristan Ryger	Male									House Ryger of Willow Wood	A Storm of Swords			
characters:1039	Tristifer Botley	Male	Ironborn	At Lordsport		Heir to Lordsport	Tris				House Botley of Lordsport	A Feast for Crows,A Dance with Dragons			
characters:104	Alysanne Osgrey	Female		In 188 AC or 189 AC	In 209 AC, at King's Landing						House Osgrey of Standfast	The Sworn Sword			
characters:1040	Tristifer IV Mudd	Male				King of the Rivers and the Hills	The Hammer of Justice					A Storm of Swords,The World of Ice and Fire			
characters:1041	Tristifer V	Male				King of the Rivers and the Hills	Tristifer the Last	characters:1040							
characters:1042	Triston Sunderland	Male				Lord of the Three Sisters					House Sunderland of the Three Sisters	A Feast for Crows,A Dance with Dragons			
characters:1043	Trystane Martell	Male	Dornish	In 287 AC		Prince					House Nymeros Martell of Sunspear	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons		Season 5	Toby Sebastian
characters:1044	Tya Lannister	Female								characters:435	House Baratheon of Storm's End,House Lannister of Casterly Rock	A Game of Thrones			
characters:1045	Tyana Wylde	Female								characters:56	House Frey of the Crossing,House Wylde of Rain House	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1046	Tybolt Crakehall	Male				Ser					House Crakehall of Crakehall	A Storm of Swords,A Feast for Crows			
characters:1047	Tybolt Hetherspoon	Male				Ser					House Hetherspoon	A Feast for Crows,A Dance with Dragons			
characters:1048	Tybolt Lannister	Male	Westerman		In 212 AC	Ser,Lord of Casterly Rock,Shield of Lannisport,Warden of the West				characters:1989	House Lannister of Casterly Rock	The Hedge Knight,The Sworn Sword,The Mystery Knight,The World of Ice and Fire			
characters:1049	Tygett Lannister	Male		In 250 AC	In or after 285 AC	Ser	Tyg			characters:292	House Lannister of Casterly Rock	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:105	Alysanne Targaryen	Female		36 AC	99 AC or 100 AC	Queen	Good Queen Alysanne	characters:57	characters:110	characters:526		A Storm of Swords,The Rogue Prince,The World of Ice and Fire			
characters:1050	Tyland Lannister	Male			In 133 AC	Ser,Master of ships,Master of coin,Hand of the King					House Lannister of Casterly Rock	The Princess and the Queen,The Rogue Prince,The World of Ice and Fire			
characters:1051	Tyrek Lannister	Male		In 286 AC	In 299 AC (allegedly), at King's Landing		Wet Nurse			characters:382	House Lannister of Casterly Rock	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1052	Tyrion Lannister	Male		In 273 AC, at Casterly Rock		Acting Hand of the King (former),Master of Coin (former)	The Imp,Halfman,The boyman,Giant of Lannister,Lord Tywin's Doom,Lord Tywin's Bane,Yollo,Hugor Hill,No-Nose,Freak,Dwarf			characters:2044	House Lannister of Casterly Rock	A Feast for Crows,The World of Ice and Fire	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Dance with Dragons	Season 1,Season 2,Season 3,Season 4,Season 5	Peter Dinklage
characters:1053	Tysane Frey	Female		In 292 AC							House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1054	Tyta Frey	Female		In 269 AC or 270 AC			Tyta the Maid				House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1055	Tytos Brax	Male				Ser,Lord of Hornvale					House Brax of Hornvale	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1056	Tytos Frey	Male		In or between 261 AC and 272 AC	In 299 AC, at the Twins	Ser				characters:1135	House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1057	Tytos Lannister	Male		In 220 AC	In 267 AC, at Casterly Rock	Lord of Casterly Rock,Shield of Lannisport,Warden of the West	The Laughing Lion,The Toothless Lion			characters:556	House Lannister of Casterly Rock	A Storm of Swords,A Feast for Crows,A Dance with Dragons,The World of Ice and Fire			
characters:1058	Tywin Frey	Male		In 287 AC or 288 AC		Ser	Ty				House Frey of Riverrun,House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1059	Tywin Frey	Male		In 299 AC or 300 AC							House Frey of the Crossing	A Feast for Crows			
characters:106	Alysanne Tarth	Female									House Tarth of Evenfall Hall	A Feast for Crows			
characters:1060	Ulrick Dayne	Male	Dornish			Ser,Sword of the Morning					House Dayne of Starfall	The Sworn Sword			
characters:1061	Ulwyck Uller	Male				Ser					House Uller of Hellholt	A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1062	Urrigon Greyjoy	Male	Ironborn	In 268 AC or 269 AC	At Pyke		Urri				House Greyjoy of Pyke	A Feast for Crows			
characters:1063	Utherydes Wayn	Male		In or between 237 AC and 241 AC (roughly)		Steward					House Tully of Riverrun,House Wayn	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1064	Uthor Tollett	Male	Valemen			Lord of the Grey Glen					House Tollett of the Grey Glen	A Feast for Crows			
characters:1065	Uthor Underleaf	Male		In or around 181 AC, 182 AC or 183 AC		Ser	The Snail					The Mystery Knight			
characters:1066	Vaemond Velaryon	Male	Valyrian		In 126 AC	Ser					House Velaryon of Driftmark	The Rogue Prince			
characters:1067	Valarr Targaryen	Male	Valyrian	In or between 183 AC and 193 AC	In 209 AC, at King's Landing	Prince  Hand of the King (possibly)	The Young Prince			characters:1589	House Targaryen of King's Landing	The Hedge Knight,The Sworn Sword,The Mystery Knight			
characters:1068	Vardis Egen	Male	Valemen	In or between 249 AC and 253 AC	In 298 AC, at the Eyrie	Ser,Captain of the Guards					House Arryn of the Eyrie,House Egen	A Game of Thrones,A Clash of Kings,A Storm of Swords		Season 1	Brendan McCormack
characters:1069	Vayon Poole	Male			In 298 AC, at King's Landing	Steward of Winterfell					House Poole	A Game of Thrones,A Clash of Kings			
characters:107	Alyssa Arryn	Female									House Arryn of the Eyrie	A Game of Thrones			
characters:1070	Velaena Velaryon	Female	Valyrian			Lady of Dragonstone				characters:59	House Targaryen of King's Landing,House Velaryon of Driftmark	The World of Ice and Fire			
characters:1071	Vickon Botley	Male	Ironborn								House Botley of Lordsport	A Feast for Crows			
characters:1072	Vickon Greyjoy	Male			In 33 AC	Lord of the Iron Islands,Lord Reaper of Pyke					House Greyjoy of Pyke	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,The World of Ice and Fire			
characters:1073	Victaria Tyrell	Female								characters:575	House Tyrell of Highgarden	A Storm of Swords,A Feast for Crows			
characters:1074	Victarion Greyjoy	Male	Ironborn	In 268 AC or before, at Pyke		Lord Captain of the Iron Fleet,Master of the Iron Victory	The Iron Captain				House Greyjoy of Pyke	A Game of Thrones,A Clash of Kings,A Storm of Swords	A Feast for Crows,A Dance with Dragons		
characters:1075	Victor Tyrell	Male				Ser					House Tyrell of Highgarden	A Storm of Swords,A Feast for Crows			
characters:1076	Viserys I	Male		77 AC, at King's Landing	129 AC, at King's Landing	King of the Andals, the Rhoynar and the First Men,Lord of the Seven Kingdoms,Protector of the Realm	The Young King	characters:157	characters:109	characters:49		A Game of Thrones,The Princess and the Queen,The Rogue Prince,The World of Ice and Fire			
characters:1077	Viserys II	Male		122 AC, at Dragonstone	172 AC, at King's Landing	King of the Andals, the Rhoynar and the First Men,Lord of the Seven Kingdoms,Protector of the Realm,Hand of the King		characters:269	characters:874	characters:1608		A Game of Thrones,A Storm of Swords,The Princess and the Queen,The Rogue Prince,The World of Ice and Fire			
characters:1078	Viserys Plumm	Male		In 176 AC or 177 AC		Lord					House Plumm	The Mystery Knight,A Dance with Dragons,The World of Ice and Fire			
characters:1079	Viserys Targaryen	Male	Valyrian	In 276 AC, at King's Landing	In 298 AC, at Vaes Dothrak	King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms and Protector of the Realm	The Beggar King,Khal Rhaggat (The Cart King)				House Targaryen of King's Landing	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons,The World of Ice and Fire		Season 1	Harry Lloyd
characters:108	Alyssa Blackwood	Female		In 253 AC or before	In or between 269 AC and 278 AC	Lady				characters:1093	House Blackwood of Raventree Hall,House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1080	Vortimer Crane	Male				Ser,Master-at-arms at Highgarden					House Crane of Red Lake	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1081	Walda Frey	Female		In 290 AC or 291 AC							House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1082	Walda Frey	Female		In 294 AC or 295 AC							House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1083	Walda Frey	Female		In 280 AC or 281 AC			Fair Walda				House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1084	Walda Frey	Female		In 283 AC or 284 AC			Fat Walda,Walda Bolton			characters:933	House Bolton of the Dreadfort,House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons		Season 4,Season 5	Elizabeth Webster
characters:1085	Walda Frey	Female		In 288 AC or 289 AC			White Walda				House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1086	Walda Rivers	Female		In 294 AC or 295 AC							House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1087	Walda Rivers	Female		In 295 AC							House Frey of the Crossing	A Storm of Swords			
characters:1088	Walder Brax	Male		In 293 AC							House Brax of Hornvale	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1089	Walder Frey	Male		In 291 AC			Big Walder				House Frey of the Crossing	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:109	Alyssa Targaryen	Female	Valyrian	In or between 51 AC and 60 AC		Princess				characters:157	House Targaryen of King's Landing	The World of Ice and Fire			
characters:1090	Walder Frey	Male	Rivermen	In or between 260 AC and 280 AC			Black Walder				House Frey of the Crossing	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows		Season 3	Tim Plester
characters:1091	Walder Frey	Male		In 291 AC, at The Twins	In 300 AC, at Winterfell		Little Walder				House Frey of the Crossing	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1092	Walder Frey	Male		In 285 AC			Red Walder				House Frey of Riverrun	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1093	Walder Frey	Male	Rivermen	In 208 AC		Lord of the Crossing	The Late Lord Frey,Old Frey			characters:818	House Frey of the Crossing	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,The Mystery Knight,A Dance with Dragons		Season 1,Season 3	David Bradley
characters:1094	Walder Goodbrook	Male		In 290 AC							House Goodbrook	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1095	Walder Haigh	Male		In 294 AC or 295 AC							House Haigh	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1096	Walder Rivers	Male	Rivermen			Ser	Bastard Walder			characters:1509	House Frey of the Crossing	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1097	Waldon Wynch	Male	Ironborn			Lord of Iron Holt					House Wynch of Iron Holt	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1098	Wallace Waynwood	Male		In or between 278 AC and 283 AC		Ser					House Waynwood of Ironoaks	A Feast for Crows,A Dance with Dragons			
characters:1099	Walter Whent	Male	Rivermen			Lord of Harrenhal	Old Lord Whent			characters:972	House Whent of Harrenhal	A Storm of Swords,A Dance with Dragons,The World of Ice and Fire			
characters:11		Unknown	Braavos	In 263 AC or 264 AC			The waif					A Feast for Crows,A Dance with Dragons		Season 5	Faye Marsay
characters:110	Alyssa Velaryon	Female	Valyrian	In 7 AC		Lady,Queen,Dowager Queen,Queen Regent,Lady of Storm's End				characters:57	House Baratheon of Storm's End,House Targaryen of King's Landing,House Velaryon of Driftmark	The World of Ice and Fire			
characters:1100	Walton Frey	Male		In or between 250 AC and 267 AC						characters:295	House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1101	Walton Stark	Male				King in the North,Lord of Winterfell	Walton the Moon King				House Stark of Winterfell	A Clash of Kings			
characters:1102	Waltyr Frey	Male		In 289 AC			Tyr				House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1103	Warryn Beesbury	Male				Lord of Honeyholt					House Beesbury of Honeyholt	A Feast for Crows			
characters:1104	Waymar Royce	Male	Valemen	In 278 AC or 279 AC, at Runestone	In 297 AC, at the Haunted Forest, Beyond the Wall	Ser					House Royce of Runestone	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows		Season 1	Rob Ostlere
characters:1105	Wendel Frey	Male		In 286 AC							House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1106	Wendel Manderly	Male		In or between 254 AC and 263 AC, at White Harbor	In 299 AC, at the Twins	Ser					House Manderly of White Harbor	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons		Season 3	Oddie Braddell
characters:1107	Whalen Frey	Male		In 267 AC or 268 AC		Ser				characters:1000	House Frey of the Crossing	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1108	Wilbert Osgrey	Male				Ser	the Little Lion				House Osgrey of Standfast	The Sworn Sword			
characters:1109	Will	Male			In 297 AC, at Haunted Forest							A Clash of Kings	A Game of Thrones		Bronson Webb
characters:111	Alyx Frey	Female		In 282 AC				characters:1004	characters:1217		House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1110	Willam Dustin	Male	Northmen		In 283 AC, at the Tower of Joy	Lord of Barrowton				characters:166	House Dustin of Barrowton	A Game of Thrones,A Feast for Crows,A Dance with Dragons			
characters:1111	Willam Stark	Male	Northmen	At Winterfell	In 226 AC, at Long Lake	Lord of Winterfell,Warden of the North				characters:737	House Stark of Winterfell	A Clash of Kings,The World of Ice and Fire			
characters:1112	Willam Wythers	Male				Ser,Captain of the Guards					House Tyrell of Highgarden,House Wythers	A Feast for Crows			
characters:1113	Willas Tyrell	Male		In or between 270 AC and 276 AC							House Tyrell of Highgarden	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1114	Willem Darry	Male			In 289 AC or 290 AC (roughly), at Braavos	Ser Master-at-arms at the Red Keep					House Darry of Darry,House Targaryen of King's Landing	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Dance with Dragons			
characters:1115	Willem Frey	Male		In 289 AC or 290 AC							House Frey of Riverrun,House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1116	Willem Lannister	Male		In or between 285 AC and 287 AC	In 299 AC, at Riverrun						House Lannister of Casterly Rock	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1117	Willem Wylde	Male				Ser					House Wylde of Rain House	The Hedge Knight,The Mystery Knight			
characters:1118	William Mooton	Male				Lord of Maidenpool					House Mooton of Maidenpool	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1119	Willis Fell	Male				Ser					House Fell of Felwood	The Princess and the Queen			
characters:112	Amarei Crakehall	Female		In 245 AC or before	In 264 AC					characters:1093	House Crakehall of Crakehall,House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1120	Willis Wode	Male				Ser					House Whent of Harrenhal,House Wode	A Game of Thrones,A Feast for Crows			
characters:1121	Wyl Waynwood	Male			In 196 AC, at the Redgrass Field		Wild Wyl				House Waynwood of Ironoaks	The Sworn Sword			
characters:1122	Wylis Manderly	Male		In or between 252 AC and 262 AC, at White Harbor		Ser					House Manderly of White Harbor	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1123	Wylla Manderly	Female		In 284 AC or 285 AC, at White Harbor							House Manderly of White Harbor	A Feast for Crows,A Dance with Dragons			
characters:1124	Wyman Manderly	Male		In or between 239 AC and 242 AC, at White Harbour		Lord of White Harbor,Warden of the White Knife,Shield of the Faith,Defender of the Dispossessed,Lord Marshal of the Mander,Knight of the Order of the Green Hand	Lord Lamprey,Lord Too-Fat-to-Sit-a-Horse,Lord Pig,Lord Lard				House Manderly of White Harbor	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1125	Wynafrei Whent	Female								characters:291	House Whent of Harrenhal	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1126	Wynafryd Manderly	Female		In 280 AC or 281 AC, at White Harbor							House Manderly of White Harbor	A Feast for Crows,A Dance with Dragons			
characters:1127	Wynton Stout	Male	Northmen	In or before 219 AC		Ser					House Stout of Goldgrass	A Storm of Swords,A Feast for Crows			
characters:1128	Ygon Farwynd	Male									House Farwynd of the Lonely Light	A Feast for Crows			
characters:1129	Ynys Yronwood	Female	Dornish							characters:1922	House Allyrion of Godsgrace,House Yronwood of Yronwood	A Dance with Dragons			
characters:113	Ambrose Butterwell	Male		In 160 AC or 161 AC		Lord of Whitewalls,Hand of the King	Old Milkblood,The lord of cows,Lord Butterbutt			characters:2054	House Butterwell	The Sworn Sword,The Mystery Knight			
characters:1130	Yohn Farwynd	Male	Ironborn								House Farwynd of the Lonely Light	A Feast for Crows			
characters:1131	Yohn Royce	Male	Valemen			Lord of Runestone	Bronze Yohn				House Royce of Runestone	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons		Season 4	Rupert Vansittart
characters:1132	Yoren	Male	Westeros		In 299 AC, at Gods Eye							A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows		Season 1,Season 2	Francis Magee
characters:1133	Ysilla Royce	Female	Valemen							characters:768	House Redfort of Redfort,House Royce of Runestone	A Feast for Crows,A Dance with Dragons			
characters:1134	Zachery Frey	Male		In 287 AC							House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1135	Zhoe Blanetree	Female								characters:1056	House Blanetree	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1136	Zia Frey	Female		In 285 AC							House Frey of the Crossing	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1137	Monster	Male	Free Folk	In 299 AC, at Craster's Keep			the little monsterthe abomination					A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1138	Addam	Male				Ser						The Mystery Knight			
characters:1139	Aethan	Male										A Storm of Swords			
characters:114	Amerei Frey	Female		In 282 AC		Lady of Darry	Gatehouse Ami			characters:1799	House Frey of the Crossing,House Lannister of Darry	A Clash of Kings,A Storm of Swords,A Feast for Crows			
characters:1140	Aethelmure	Male				Grand Maester						A Game of Thrones			
characters:1141	Aggar	Male			In 299 AC, at Winterfell						House Greyjoy of Pyke	A Clash of Kings,A Dance with Dragons			
characters:1142	Aggo	Male	Dothraki			Ko									
Bloodrider of Daenerys Targaryen					House Targaryen of King's Landing	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons									
characters:1143	Agrivane	Male				Archmaester						A Feast for Crows			
characters:1144	Alan of Rosby	Male			In 300 AC, at the haunted forest							A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1145	Alaric of Eysen	Male										A Storm of Swords,A Feast for Crows			
characters:1146	Alayaya	Female		In 282 AC or 283 AC, at King's Landing			Yaya					A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1147	Albett	Male					Pimple					A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons			
characters:1148	Alebelly	Male	Northmen		In 299 AC, at Winterfell						House Stark of Winterfell	A Clash of Kings			
characters:1149	Alequo Adarys	Male	Tyroshi				Silvertongue,The Tyrant of Tyrosh					The World of Ice and Fire			
characters:115	Amory Lorch	Male			In 299 AC, at Harrenhal	Ser,Castellan of Harrenhal	The Manticore				House Lannister of Casterly Rock,House Lorch	A Game of Thrones,A Clash of Kings,A Storm of Swords,A Feast for Crows,A Dance with Dragons		Season 2	Fintan McKeown
characters:1150	Alesandor Torrent	Male				Lord of Littlesister					House Torrent of Littlesister	A Feast for Crows,A Dance with Dragons			
characters:1151	Alfyn	Male	Free Folk		In 299 AC		Alfyn Crowkiller					A Clash of Kings,A Storm of Swords,A Dance with Dragons			
characters:1152	Alia of Braavos	Female										A Game of Thrones			
characters:1153	All-for-Joffrey	Male			In 299 AC, at Riverlands							A Clash of Kings			
characters:1154	Allaquo	Male	Braavosi									A Feast for Crows			
